Unit,Lesson,Activity,Language,VisitedOn,OutTime,OutAction,TimeSpentInSeconds,Buddies
unit-0-english-beginner,lesson-7-our-family,73-word-play,en,2018-05-30 14:44:23.830000,NA,NA,NA,NA
unit-0-english-beginner,lesson-7-our-family,72-picture-play,en,2018-05-30 14:43:57.417000,2018-05-30 14:44:23.830000,activity_player_detail,26.413,NA
unit-0-english-beginner,lesson-7-our-family,72-picture-play,en,2018-05-30 14:23:34.824000,2018-05-30 14:24:32.695000,course_content,57.871,NA
unit-0-english-beginner,lesson-7-our-family,72-picture-play,en,2018-05-30 14:22:19.156000,2018-05-30 14:22:54.468000,module_detail,35.312,NA
pre-clix-survey,student-survey,instructions-to-the-students,en,2018-05-30 12:02:59.189000,2018-05-30 12:07:18.448000,course_content,259.259,NA
unit-3-classifying-and-defining-shapes,student-feedback-survey,1-gender,en,2018-05-30 12:02:50.866000,2018-05-30 12:02:54.822000,course_content,3.956,NA
post-clix-survey,student-survey,2-grade,en,2018-05-30 12:02:49.316000,2018-05-30 12:02:50.866000,activity_player_detail,1.55,NA
pre-clix-survey,student-survey,1-gender,en,2018-05-30 12:02:47.265000,2018-05-30 12:02:49.316000,activity_player_detail,2.051,NA
unit-1-english-beginner,lesson-1-my-fish-no-my-fish,18-think-and-write,en,2018-05-30 00:53:52.915000,2018-05-30 00:54:17.202000,course_content,24.287,NA
unit-1-english-beginner,lesson-1-my-fish-no-my-fish,18-think-and-write,en,2018-05-30 00:52:46.448000,2018-05-30 00:53:52.915000,activity_player_detail,66.467,NA
unit-1-english-beginner,lesson-1-my-fish-no-my-fish,18-think-and-write,en,2018-05-30 00:51:56.225000,2018-05-30 00:52:46.448000,activity_player_detail,50.223,NA
post-clix-survey,student-survey,2-grade,en,2018-05-30 00:48:20.029000,2018-05-30 00:48:33.869000,course_quiz_data,13.84,NA
post-clix-survey,student-survey,2-grade,en,2018-05-30 00:36:30.443000,2018-05-30 00:48:20.029000,activity_player_detail,709.586,NA
unit-3-classifying-and-defining-shapes,student-feedback-survey,1-gender,en,2018-05-30 00:31:45.314000,2018-05-30 00:35:33.110000,course_quiz_data,227.796,NA
unit-3-classifying-and-defining-shapes,student-feedback-survey,1-gender,en,2018-05-30 00:28:10.693000,2018-05-30 00:28:47.923000,course_analytics_admin,37.23,NA
pre-clix-survey,student-survey,instructions-to-the-students,en,2018-05-30 00:27:45.344000,2018-05-30 00:27:55.636000,course_content,10.292,NA
pre-clix-survey,student-survey,13-if-i-make-mistakes-while-learning-something-new-it-means-that-i-am-not-smart,en,2018-05-30 00:26:29.686000,2018-05-30 00:27:45.344000,activity_player_detail,75.658,NA
pre-clix-survey,student-survey,13-if-i-make-mistakes-while-learning-something-new-it-means-that-i-am-not-smart,en,2018-05-30 00:25:41.441000,2018-05-30 00:26:29.686000,activity_player_detail,48.245,NA
pre-clix-survey,student-survey,12-i-expect-to-do-well-in-my-studies,en,2018-05-30 00:23:15.059000,2018-05-30 00:25:41.441000,activity_player_detail,146.382,NA
clix-platform-help-corner,1-clixplatform-help-faqs-for-students-and-teachers,12-clixplatform-help-for-teachers,hi,2018-05-29 22:21:13.019000,2018-05-29 22:24:36.686000,explore_courses,203.667,NA
clix-platform-help-corner,1-clixplatform-help-faqs-for-students-and-teachers,12-clixplatform-help-for-teachers,en,2018-05-29 22:19:30.850000,2018-05-29 22:21:13.019000,activity_player_detail,102.169,NA
clix-platform-help-corner,1-clixplatform-help-faqs-for-students-and-teachers,11-clixplatform-help-for-students,en,2018-05-29 22:11:33.010000,2018-05-29 22:19:30.850000,activity_player_detail,477.84,NA
