server_id,school_name,school_code,module_name,unit_name,username,user_id,first_name,last_name,roll_no,grade,enrollment_status,buddy_userids,buddy_usernames,total_lessons,lessons_visited,percentage_lessons_visited,total_activities,activities_visited,percentage_activities_visited,total_quizitems,visited_quizitems,attempted_quizitems,unattempted_quizitems,correct_attempted_quizitems,notapplicable_quizitems,incorrect_attempted_quizitems,user_files,total_files_viewed_by_user,other_viewing_my_files,unique_users_commented_on_user_files,total_rating_rcvd_on_files,commented_on_others_files,cmts_on_user_files,total_cmnts_by_user,user_notes,others_reading_my_notes,cmts_on_user_notes,cmnts_rcvd_by_user,total_notes_read_by_user,commented_on_others_notes,total_rating_rcvd_on_notes,correct_attempted_assessments,unattempted_assessments,visited_assessments,notapplicable_assessments,incorrect_attempted_assessments,attempted_assessments,total_assessment_items,Story [594260604975ac013cccbe6a],1.1 Fair Sharing Among Friends - I [594260614975ac013cccbe78],1.3 Fair Sharing: Equal Groups [594260614975ac013cccbe86],1.2 Fair Sharing Among Friends - II [594260624975ac013cccbe94],1.4 Fair Sharing: Unequal Groups [594260634975ac013cccbea2],1.5 Let's Make Fractions [594260644975ac013cccbeb0],Story [594260664975ac013cccbecc],2.1 Compare and Share: Unequal Groups - I [594260674975ac013cccbeda],2.2 Compare and Share: Unequal Groups - II [594260684975ac013cccbee8],2.3 Is This Distribution Fair? - I [594260694975ac013cccbef6],2.4 Is This Distribution Fair?  - II [594260694975ac013cccbf04],2.5 Let us compare [5942606a4975ac013cccbf12],Story [5942606c4975ac013cccbf2e],"3.1 Observe, Compare and Share - I [5942606d4975ac013cccbf3c]","3.2 Observe, Compare and Share - II [5942606e4975ac013cccbf4a]","3.3 Observe, Compare and Share - III [5942606f4975ac013cccbf58]",3.4 Let us match fractions [594260704975ac013cccbf66],4.1 [5a853b0669602a0156af455d],4.2 [5a853d0469602a0158433107],4.3 [5a8540ba69602a0156af4ac8],4.4 [5a8555aa69602a0156af5570],Pre-Assessment [5a8ebda469602a01566a8e50],Tangram Activity  [5a8ed4a069602a0154be5ba7]
mz8,GOVT. AIZAWL HIGH SCHOOL,2031008,[u'Proportional Reasoning'],pr-unit1-additive-to-multiplicative-thinking,administrator,1,,,,,Yes,[],[],6,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz8,GOVT. AIZAWL HIGH SCHOOL,2031008,[u'Proportional Reasoning'],pr-unit1-additive-to-multiplicative-thinking,black-heron-mz8,8431,,,,,Yes,[],[],6,0,0,23,5,21.73913043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz8,GOVT. AIZAWL HIGH SCHOOL,2031008,[u'Proportional Reasoning'],pr-unit1-additive-to-multiplicative-thinking,black-lion-mz8,8438,,,,,Yes,[],[],6,0,0,23,5,21.73913043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz8,GOVT. AIZAWL HIGH SCHOOL,2031008,[u'Proportional Reasoning'],pr-unit1-additive-to-multiplicative-thinking,black-owl-mz8,8446,,,,,Yes,[],[],6,0,0,23,5,21.73913043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,2,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz8,GOVT. AIZAWL HIGH SCHOOL,2031008,[u'Proportional Reasoning'],pr-unit1-additive-to-multiplicative-thinking,black-panda-mz8,8447,,,,,Yes,[],[],6,0,0,23,5,21.73913043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz8,GOVT. AIZAWL HIGH SCHOOL,2031008,[u'Proportional Reasoning'],pr-unit1-additive-to-multiplicative-thinking,black-lobster-mz8,8440,,,,,Yes,[],[],6,0,0,23,5,21.73913043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz8,GOVT. AIZAWL HIGH SCHOOL,2031008,[u'Proportional Reasoning'],pr-unit1-additive-to-multiplicative-thinking,black-kiwi-mz8,8437,Kurahashi,Tatsuiyo,33,Grade 9,Yes,[8430],[u'black-hen-mz8'],6,2,33.33333333333333,23,9,39.130434782608695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,8,0,0,4,0,0,0,0,4,1,2,1,1,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mz8,GOVT. AIZAWL HIGH SCHOOL,2031008,[u'Proportional Reasoning'],pr-unit1-additive-to-multiplicative-thinking,black-horse-mz8,8435,,,,,Yes,[],[],6,1,16.666666666666664,23,8,34.78260869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,1,1,1,14,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz8,GOVT. AIZAWL HIGH SCHOOL,2031008,[u'Proportional Reasoning'],pr-unit1-additive-to-multiplicative-thinking,black-hippo-mz8,8433,,,,,Yes,[],[],6,1,16.666666666666664,23,8,34.78260869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mz8,GOVT. AIZAWL HIGH SCHOOL,2031008,[u'Proportional Reasoning'],pr-unit1-additive-to-multiplicative-thinking,black-kangaroo-mz8,8436,,,,,Yes,[],[],6,2,33.33333333333333,23,9,39.130434782608695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,8,0,0,4,0,0,0,0,4,1,2,1,1,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mz8,GOVT. AIZAWL HIGH SCHOOL,2031008,[u'Proportional Reasoning'],pr-unit1-additive-to-multiplicative-thinking,black-mouse-mz8,8443,,,,,Yes,[],[],6,0,0,23,5,21.73913043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,2,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
